ConnectionDeviceId,EventProcessedUtcTime,HEFESTO_ID,timestamp,var-name,value,plugin,request,var_name_1,device
Inv01,2021-01-21T02:21:54.9800000Z,49176RET1,2021-01-21 02:21:54.000000+00:00,CVM_C5_9__1__POTENCIA ACTIVA AC,0,MODBUS RTU/SERIAL,CVM_C5_9,Potencia Activa AC,1
Inv01,2021-01-21T02:26:17.8370000Z,49176RET1,2021-01-21 02:26:17.000000+00:00,CVM_C5_10__1__ENERGIA TOTAL,2641000,MODBUS RTU/SERIAL,CVM_C5_10,Energia Total,1
Inv01,2021-01-21T02:26:57.0750000Z,49176RET1,2021-01-21 02:26:56.000000+00:00,CVM_C5_9__1__POTENCIA ACTIVA AC,0,MODBUS RTU/SERIAL,CVM_C5_9,Potencia Activa AC,1
Inv01,2021-01-21T02:31:59.0700000Z,49176RET1,2021-01-21 02:31:58.000000+00:00,CVM_C5_9__1__POTENCIA ACTIVA AC,0,MODBUS RTU/SERIAL,CVM_C5_9,Potencia Activa AC,1
