ConnectionDeviceId,EventProcessedUtcTime,HEFESTO_ID,timestamp,var-name,value,plugin,request,var_name_1,device
Inv01,2021-01-05T01:53:56.5100000Z,49176RET1,2021-01-05 01:53:55.000000+00:00,CVM_C5_9__1__POTENCIA ACTIVA AC,0,MODBUS RTU/SERIAL,CVM_C5_9,Potencia Activa AC,1
Inv01,2021-01-05T01:58:58.5110000Z,49176RET1,2021-01-05 01:58:57.000000+00:00,CVM_C5_9__1__POTENCIA ACTIVA AC,0,MODBUS RTU/SERIAL,CVM_C5_9,Potencia Activa AC,1
