ConnectionDeviceId,EventProcessedUtcTime,HEFESTO_ID,timestamp,var-name,value,plugin,request,var_name_1,device
Inv01,2021-01-06T17:45:45.9900000Z,49176RET1,2021-01-06 17:45:45.000000+00:00,CVM_C5_9__1__POTENCIA ACTIVA AC,1360,MODBUS RTU/SERIAL,CVM_C5_9,Potencia Activa AC,1
Inv01,2021-01-06T17:56:46.8690000Z,49176RET1,2021-01-06 17:56:46.000000+00:00,CVM_C5_9__1__POTENCIA ACTIVA AC,917,MODBUS RTU/SERIAL,CVM_C5_9,Potencia Activa AC,1
